Wine,Price,Body,Tannins,Fruit,Acid
Noilly Prat Rouge,14.85,N/A,N/A,citrus,N/A
Long Meadow Ranch Pinot Noir Anderson Valley 2015,58.75,N/A,N/A,berry,N/A
Dolin Vermouth De Chambery Rouge AOC,15.25,N/A,N/A,citrus,N/A
Dolin Vermouth De Chambery Dry AOC,15.25,N/A,N/A,N/A,N/A
Dominio De Punctum 99 Rosas Tempranillo Merlot 2016,14.7,light body,low tannins,berry,N/A
Tassarolo Rosa Spinola 2016,33.4,N/A,N/A,N/A,N/A
Pelee Island Lighthouse Sauvginon Blanc VQA,13.95,N/A,N/A,citrus,high acidity
Finca Fabian Chardonnay 2016,14.7,N/A,N/A,tropical fruit,high acidity
Jaszbery Szekszardi Kekfrankos,9.3,light body,N/A,berry,low acidity
Nibbio Bianco Barrique Aglianico 2015,29.45,N/A,N/A,N/A,N/A
Nibbio Grigio Aglianico Vulture DOC 2011,42.15,N/A,N/A,N/A,N/A
Di Palma Cuvee Brut Bianco,26.35,N/A,N/A,N/A,N/A
Girls' Night Out Sangria,8.95,N/A,N/A,citrus,N/A
Reynac Pineau Des Charentes,22.55,N/A,N/A,stone fruit,high acidity
Masi Masianco Pinot Grigio & Verduzzo,27.95,N/A,N/A,stone fruit,high acidity
Sandbanks Pinot Grigio VQA,15.95,N/A,N/A,stone fruit,high acidity
Leonardo Chianti Fiasco,15.95,N/A,N/A,berry,high acidity
Sator Montescudaio 2015,20.8,N/A,N/A,fruity,N/A
Sator Rosato 2015,18.95,N/A,N/A,berry,high acidity
Pierre Sparr Gewurztraminer,17.95,N/A,N/A,N/A,N/A
Tenuta Di Trecciano I Campacci Super Tuscan IGT 2014,32.45,N/A,N/A,N/A,N/A
Gérard Bertrand Côte des Roses Rosé,18.95,N/A,N/A,citrus,high acidity
Cueva Macabeo 2015,37.1,N/A,N/A,citrus,high acidity
Oldenburg Chardonnay 2017,25.95,N/A,N/A,stone fruit,high acidity
Legado Finca El Refugio Organic Cabernet Sauvignon Merlot 2011,18.65,N/A,N/A,fruity,N/A
Enate Chardonnay 2016,18.55,N/A,N/A,stone fruit,high acidity
Oscar. 697 Vermouth Bianco,28.8,N/A,N/A,citrus,high acidity
Calmel & Joseph Villa Blanche Chardonnay,15.05,full body,N/A,stone fruit,N/A
Lustau Los Arcos Amontillado Dry Sherry,16.2,N/A,N/A,N/A,N/A
Hoya De Cadenas White 2016,13.95,N/A,N/A,stone fruit,N/A
Viticoltori Acquesi Brachetto D'Acqui,13.5,N/A,N/A,berry,N/A
Radio Boka Tempranillo VDT Castilla,11.95,N/A,N/A,fruity,N/A
Peninsula Ridge Pinot Grigio VQA,13.95,N/A,N/A,N/A,N/A
JP Azeitão White,8.95,N/A,N/A,stone fruit,high acidity
Fonseca Periquita White,8.5,N/A,N/A,citrus,high acidity
Laroche Viognier De La Chevaliere,13.05,N/A,N/A,stone fruit,N/A
Greco Sannio DOC 2016,20.25,N/A,N/A,N/A,N/A
Mororosa Spumante Rosè 2016,19.4,N/A,N/A,N/A,N/A
Baron de Hoen Réserve Gewurztraminer 2017,19.95,N/A,N/A,fruity,high acidity
Quails' Gate Chardonnay,24.95,full body,N/A,tropical fruit,N/A
Jackson-Triggs Merlot,18.95,N/A,low tannins,berry,low acidity
Villa Annaberta Valpolicella Ripasso Superiore,18.25,N/A,N/A,berry,N/A
Sartori Valpolicella Classico,12.95,N/A,N/A,fruity,high acidity
Tinhorn Creek Chardonnay 2016,27.95,N/A,N/A,tropical fruit,high acidity
Botromagnovini Fiano Murgia Bianco IGP 2015,21.25,N/A,N/A,N/A,N/A
Schloss Vollrads Riesling Grosses Gewächs 2014,52.6,N/A,N/A,citrus,N/A
Zahel Sauvignon Blanc Kroissberg 2016,26.7,N/A,N/A,stone fruit,high acidity
Robert Mondavi Private Selection Chardonnay,17.45,N/A,N/A,tropical fruit,high acidity
Chateau Moulin De Grenet 2015,21.4,N/A,N/A,fruity,low acidity
Tenuta Di Trecciano Chianti Colli Senesi DOCG 2013,26.35,N/A,N/A,N/A,N/A
Cosimo Daphne 2015,42.8,N/A,N/A,N/A,N/A
Cosimo Fedardo 2009,79.85,N/A,N/A,citrus,N/A
Cosimo 2015,53.35,N/A,N/A,N/A,N/A
Botromagno Nero Di Troia Murgia Rosso 2014,21.55,N/A,N/A,N/A,N/A
Eclat(s) De Tara Blanc,33.5,N/A,N/A,citrus,N/A
Piper-Heidsieck Rare Brut Champagne 2002,239.95,N/A,low tannins,citrus,N/A
Luccarelli Negroamaro Puglia IGT,8.95,N/A,low tannins,berry,N/A
Richmond Plains Syrah 2015,30.8,full body,N/A,berry,low acidity
Schwarzer Rappe Cabernet Dorsa 2015,30.45,N/A,N/A,N/A,N/A
Edition FELS Lemberger 2015,26.55,N/A,N/A,N/A,N/A
Alento Reserva Red 2014,24.4,full body,N/A,fruity,N/A
Nederburg The Winemaster's Sauvignon Blanc,13.95,N/A,N/A,citrus,high acidity
Attilio Ghisolfi Bussia Barolo 2013,54.95,N/A,N/A,berry,N/A
Sawmill Creek Autumn Blush,16.95,N/A,N/A,stone fruit,N/A
Avondale Jonty's Ducks Pekin Red 2014,16.95,N/A,low tannins,N/A,N/A
Jackson-Triggs Merlot,11.45,N/A,low tannins,berry,low acidity
The Show Cabernet Sauvignon,18.95,N/A,medium tannins,berry,low acidity
Arrocal Passion 2010,19.25,N/A,low tannins,berry,low acidity
Lallier Grand Cru Brut Rosé Champagne,57.95,N/A,N/A,fruity,N/A
Les Dauphins CdRhone Reserve Red AOC,12.95,N/A,low tannins,fruity,low acidity
Casa de Vilacetinho Tinto Escolha DOC 2016,13.8,N/A,N/A,N/A,high acidity
St. Andrieu Blanc Cotes De Provence 2016,18.9,N/A,N/A,N/A,N/A
Tenuta Mezzadria Passerina IGT 2016,21.3,N/A,N/A,stone fruit,high acidity
Bulichella Coldipietrerosse 2012,65.8,N/A,N/A,N/A,N/A
Bulichella Hide 2012,65.8,N/A,N/A,N/A,N/A
Bulichella Tuscanio Bianco 2016,49.4,N/A,N/A,N/A,N/A
Dubonnet Rouge,12.95,N/A,N/A,stone fruit,N/A
Chaski Petit Verdot 2014,29.95,full body,N/A,fruity,low acidity
Borsao Tinto Garnacha,11.95,N/A,N/A,berry,high acidity
Peninsula Ridge Semi-Dry Riesling VQA,11.05,N/A,N/A,stone fruit,N/A
Open Smooth White VQA,12.95,N/A,N/A,citrus,low acidity
Bodacious Smooth Red,18.95,N/A,N/A,berry,N/A
Black Cellar Merlot,11.95,N/A,N/A,berry,N/A
Spadafora Terrano Rosso Calabria IGT,9.45,N/A,N/A,berry,N/A
Bartoli Vecchio Samperi,93.05,medium body,N/A,citrus,low acidity
Bartoli Marsala Vigna La Miccia,49.05,light body,N/A,fruity,low acidity
Dettori Bianco 2016,53.15,N/A,N/A,N/A,N/A
Dettori Tenores 2013,91.75,N/A,N/A,N/A,N/A
Casa Raia Brunello Di Montalcino DOCG 2011,104.2,N/A,N/A,berry,N/A
Inniskillin Vidal Icewine,49.95,N/A,N/A,stone fruit,N/A
Pierre Sparr Cremant D'Alsace Brut Reserve,19.95,N/A,N/A,citrus,high acidity
Cilento Fiano DOP Cumale 2016,24.75,N/A,N/A,N/A,N/A
Rosso Cilento DOP Dellemore 2015,24.75,N/A,N/A,N/A,N/A
Tenuta S. Anna Prosecco Extra-Dry,17.95,N/A,N/A,citrus,high acidity
Von Hövel Schwarzhofberger QBA Feinherb 2015,63.65,N/A,N/A,citrus,high acidity
Von Hövel Oberemmeler Hütte GG Dry 2012,48.45,N/A,N/A,N/A,low acidity
Von Hövel Oberemmeler QBA Feinherb 2015,29.55,N/A,N/A,stone fruit,high acidity
Von Hövel Hütte Oberemmel Spätlese 2015,44.0,N/A,N/A,N/A,N/A
Von Hövel Saar Riesling Kabinett 2015,25.65,N/A,medium tannins,stone fruit,high acidity
Martin Berdugo Verdejo Rueda 2016,22.6,N/A,N/A,fruity,N/A
Martin Berdugo Rosado 2016,17.45,N/A,low tannins,fruity,high acidity
Quinta Das Maias White 2016,17.4,N/A,N/A,N/A,high acidity
Veuve Clicquot Brut Champagne,41.85,N/A,N/A,citrus,N/A
Jackson-Triggs Reserve Vidal Icewine,34.95,full body,N/A,tropical fruit,N/A
Torres Cordillera de los Andes Reserva Especial Carmenère 2014,22.95,full body,medium tannins,N/A,N/A
Boya Sauvignon Blanc 2017,14.95,N/A,N/A,N/A,N/A
The Foreign Affair Enchanted 2017,17.95,full body,N/A,citrus,high acidity
Santa Carolina Chardonnay,5.95,medium body,N/A,citrus,N/A
Santa Carolina Reserva Cabernet Sauvignon,7.95,N/A,N/A,berry,N/A
Magnum Château Larose Perganson 2008,69.15,full body,N/A,berry,N/A
Domain Mega Spileo Assyrtiko Lagorthi 2016,20.95,full body,N/A,stone fruit,high acidity
Domain Mega Spileo Malagouzia Lagorthi 2016,16.95,N/A,N/A,stone fruit,high acidity
992 Finca Rio Negro 2015,25.85,N/A,N/A,N/A,N/A
Lykos Malagousia 2016,22.8,N/A,N/A,stone fruit,high acidity
Wolf Blass Grey Label Shiraz,37.0,N/A,N/A,N/A,N/A
Josep Foraster Blanc Seleccio,34.3,N/A,N/A,stone fruit,high acidity
Josep Foraster Collita 2015,20.7,N/A,N/A,fruity,low acidity
Château des Charmes Sauvignon Blanc VQA,15.95,N/A,N/A,citrus,high acidity
Fantini Farnese Pinot Grigio IGP,9.95,N/A,N/A,stone fruit,high acidity
Kir Yianni Paranga Red VDP Macedonia,15.35,medium body,N/A,berry,low acidity
Robert Mondavi Private Selection Cabernet Sauvignon,18.45,N/A,N/A,berry,N/A
Do Les Agapans 2014,51.9,light body,medium tannins,N/A,low acidity
Les Perrottes Rouge 2014,31.95,N/A,medium tannins,N/A,N/A
Le Bouquet Rouge 2015,19.6,N/A,N/A,N/A,high acidity
Les Cantarelles Blanc 2016,31.9,light body,N/A,citrus,N/A
Chloe Chardonnay,18.95,light body,N/A,citrus,low acidity
Carnivor Cabernet Sauvignon,15.95,full body,low tannins,berry,N/A
Apothic Dark Red,16.95,N/A,high tannins,berry,N/A
Monasterio De Las Vinas Crianza Carinena,19.95,medium body,low tannins,berry,low acidity
Pelee Island Monarch Vidal VQA,11.95,N/A,N/A,citrus,high acidity
Longoria Santa Rita Hills Pinot Noir 2015,57.0,medium body,N/A,N/A,N/A
Longoria Chardonnay Santa Rita Hills 2013,77.7,full body,low tannins,fruity,high acidity
Pelee Island Chardonnay VQA,19.45,N/A,N/A,citrus,low acidity
Pelee Island Cabernet Sauvignon,17.45,N/A,N/A,N/A,N/A
The Boss Chianti DOCG 2014,23.1,N/A,N/A,berry,high acidity
Somnio Brunello Di Montalcino DOCG 2012,75.15,N/A,N/A,N/A,N/A
"Villa Sandi Prosecco Il Fresco DOC, Treviso",15.95,N/A,N/A,stone fruit,high acidity
Fiol Prosecco DOC,14.25,N/A,N/A,tropical fruit,N/A
Porto Carras Assyrtiko White PGI 2016,15.05,N/A,N/A,citrus,high acidity
Erath Pinot Noir,24.95,N/A,N/A,berry,high acidity
The Velvet Devil Merlot,18.95,N/A,N/A,berry,low acidity
Kung Fu Girl Riesling,18.95,light body,N/A,stone fruit,low acidity
Doña Paula Estate Malbec,16.95,N/A,N/A,berry,N/A
Emphasis Agiorgitiko,23.0,N/A,N/A,berry,low acidity
Henryof Pelham Special Select Late Harvest Vidal VQA,19.95,full body,N/A,stone fruit,high acidity
Stone Castle Vranac Premium 2014,10.3,N/A,N/A,N/A,N/A
Pierpaolo Pecorari Sauvignon Blanc 2016,25.7,full body,N/A,N/A,high acidity
Pierpaolo Pecorari Merlot 2015,25.7,N/A,N/A,N/A,low acidity
Pillitteri Canadian Gothic Cabernet Merlot VQA,13.95,N/A,low tannins,berry,high acidity
Beringer Luminus Chardonnay 2016,44.95,N/A,N/A,citrus,high acidity
Henry of Pelham Estate Cabernet/Merlot 2015,24.95,N/A,N/A,fruity,high acidity
Charles Baker Ivan Vineyard Riesling 2017,22.25,N/A,N/A,N/A,N/A
Cape Bay Cabernet Sauvignon-Shiraz,10.95,N/A,N/A,berry,N/A
Brights House White,32.95,medium body,N/A,fruity,N/A
Brights House Dry White,32.95,N/A,N/A,fruity,N/A
"Passion Of Portugal Red, Lisboa VR",17.05,N/A,N/A,berry,low acidity
Cos Pithos Red 2015,48.1,N/A,N/A,N/A,N/A
Gundlach Bundschu Merlot 2014,58.95,N/A,N/A,N/A,high acidity
El Miracle 120 Anniversary White 2016,14.1,full body,N/A,stone fruit,high acidity
Domaine Porto Carras Limnio Organic Red 2015,17.9,N/A,N/A,fruity,N/A
Redstone Chardonnay 2016,19.95,N/A,low tannins,citrus,N/A
Jackson-Triggs Sauvignon Blanc,11.45,N/A,N/A,citrus,high acidity
Jackson-Triggs Sauvignon Blanc,18.95,N/A,N/A,citrus,high acidity
Lord Rutherford Sauvignon Blanc 2016,27.95,full body,N/A,citrus,N/A
Clemens Busch Riesling 2015,53.6,N/A,low tannins,N/A,high acidity
Clemens Busch Marienburg Fahrlay Auslese 2015,62.35,full body,N/A,fruity,N/A
Clemens Busch Marienburg Trockenbeerenauslese 2006,489.0,N/A,high tannins,stone fruit,N/A
Clemens Busch Marienburg Falkenlay Auslese 2015,66.65,light body,N/A,N/A,low acidity
Clos Du Bois Chardonnay,16.25,full body,N/A,citrus,N/A
Bodega Norton Barrel Select Malbec,10.95,N/A,N/A,fruity,N/A
Bodega Norton Barrel Select Sauvignon Blanc,13.95,N/A,N/A,tropical fruit,N/A
Le Mortelle Botrosecco Cabernet 2015,22.25,N/A,N/A,berry,high acidity
Luna Nuda Pinot Grigio 2017,16.95,N/A,N/A,fruity,low acidity
Barbera D'Asti Sup Cascina Perno 2015,35.1,N/A,N/A,fruity,high acidity
CantinArte Gaia Cerasuolo DOC 2016,32.75,N/A,N/A,berry,N/A
Fuzion Shiraz Malbec,15.95,N/A,N/A,N/A,N/A
Barbera D'Asti DOCG Camp Riond Superiore 2015,36.45,N/A,N/A,berry,N/A
Rigoloccio Cabernet E Alicante 2014,25.15,N/A,N/A,N/A,N/A
Rigoloccio Abudantia Merlot IGT 2011,70.05,N/A,N/A,N/A,low acidity
Helexo Retsina 2016,9.75,full body,low tannins,citrus,high acidity
Helexo Retsina 2016,13.45,full body,low tannins,citrus,high acidity
Helexo Apeiron Red 2015,17.45,light body,low tannins,N/A,N/A
Helexo Apeiron White PGI 2016,16.6,N/A,N/A,citrus,high acidity
Kanakaris Lefko Dakri Moschofilero 2016,13.95,N/A,N/A,citrus,low acidity
Kanakaris Ano Polis Roditis Chardonnay 2016,13.7,N/A,N/A,fruity,high acidity
Karamolegos Terranera PGI Dry Rose 2016,24.0,full body,N/A,berry,high acidity
Bread & Cheese White 2016,14.95,N/A,N/A,citrus,high acidity
Giesen The Brothers Pinot Noir 2016,32.95,N/A,N/A,berry,N/A
El Chico Malo 2014,22.85,full body,low tannins,fruity,N/A
Galan Private Reserve Rose 2015,11.05,N/A,N/A,citrus,high acidity
Galan Reserva Privada Chardonnay 2016,11.05,light body,N/A,fruity,low acidity
Galan Private Reserve Sauvignon Blanc 2016,11.05,full body,N/A,tropical fruit,high acidity
Casagra Super Tuscan IGT 2014,19.6,full body,N/A,berry,high acidity
Old World Four Horsemen 2010,38.3,N/A,N/A,berry,N/A
Old World Zinfandel 2009,52.5,N/A,N/A,berry,low acidity
Old World Luminous 2013,59.25,N/A,N/A,N/A,high acidity
Graham's 10 Years Old Tawny Port,29.95,full body,N/A,N/A,high acidity
Burnt Ship Bay Pinot Grigio VQA,15.95,N/A,N/A,citrus,high acidity
Burnt Ship Bay Estate Cabernet Merlot VQA,15.95,full body,N/A,berry,N/A
Cliff 79 Cabernet Shiraz,10.95,full body,N/A,berry,N/A
Yellow Tail Sangria,12.0,N/A,N/A,citrus,low acidity
Robert Mondavi Private Selection Sauvignon Blanc,17.45,N/A,N/A,citrus,high acidity
Vale Da Calada Red 2014,16.3,N/A,low tannins,fruity,N/A
Vale Da Calada White 2016,15.95,N/A,N/A,fruity,N/A
Caladessa Red 2015,20.6,N/A,N/A,fruity,N/A
Sao Domingos Bairrada Red 2014,20.4,light body,N/A,N/A,low acidity
Sao Domingos Reserva Red Bairrada 2011,28.6,N/A,low tannins,fruity,high acidity
Coreto Joker White 2016,12.45,N/A,N/A,N/A,high acidity
Jacob's Creek Moscato,23.95,N/A,N/A,tropical fruit,N/A
Argento Seleccion Pinot Grigio,19.95,N/A,N/A,tropical fruit,high acidity
Mcguigan Black Label Shiraz,20.95,full body,low tannins,berry,low acidity
Barefoot Pinot Grigio,19.95,N/A,N/A,stone fruit,high acidity
OPI Chardonnay,11.95,N/A,N/A,tropical fruit,N/A
Macrina Verdicchio Dei Castelli 2016,17.25,light body,N/A,stone fruit,high acidity
Del Professore Vermouth in Botte Da Rum Jamaicano,135.75,N/A,N/A,N/A,N/A
Philippe De Rothschild Chardonnay Pays d'Oc,13.35,medium body,N/A,citrus,low acidity
Philippe De Rothschild Sauvignon Blanc Pays d'Oc,13.35,N/A,N/A,citrus,high acidity
Philippe De Rothschild Merlot Pays d'Oc,13.35,N/A,N/A,berry,low acidity
Philippe De Rothschild Cabernet Sauvignon Pays d'Oc,13.35,N/A,N/A,berry,N/A
Beringer Founders' Estate Sauvignon Blanc,17.95,medium body,N/A,tropical fruit,N/A
Lindemans Bin 85 Pinot Grigio,19.95,N/A,low tannins,N/A,low acidity
Naked Grape Chardonnay,41.95,N/A,N/A,citrus,high acidity
Naked Grape Shiraz,41.95,medium body,N/A,berry,low acidity
Sao Domingos Dao Vinho Tinto 2009,19.4,light body,N/A,fruity,low acidity
Espumante Sao Domingos Seco,21.35,light body,N/A,N/A,low acidity
Siuralta Gris 2015,53.75,N/A,N/A,N/A,N/A
No. 1 InStabile Mea Culpa 2015,45.6,N/A,N/A,N/A,N/A
Santa Carolina Reserva de Familia Cabernet Sauvignon,17.95,full body,N/A,berry,N/A
Espumante Sao Domingos Extra Reserva,29.2,N/A,N/A,stone fruit,N/A
Joseph Carr Cabernet Sauvignon 2015,44.95,N/A,low tannins,N/A,N/A
Lavradores de Feitoria White,14.5,N/A,N/A,citrus,low acidity
Lindemans Cawarra Shiraz Cabernet,18.95,full body,N/A,berry,N/A
Il Botolo Moscato D'Asti DOCG 2016,23.55,light body,N/A,stone fruit,low acidity
Luccarelli Primitivo Puglia Igt,22.05,medium body,N/A,berry,N/A
Georges Duboeuf Beaujolais Rosé 2017,15.75,N/A,N/A,N/A,N/A
Chateau Des Moines Prestige 2014,35.75,full body,low tannins,N/A,low acidity
Howard Park Miamup Cabernet Sauvignon 2015,19.25,N/A,N/A,N/A,N/A
Fattoria Sardi Sebastiano DOC Colline Lucchesi 2014,35.45,N/A,N/A,citrus,high acidity
Vila Santa Reserva Red 2014,23.45,N/A,N/A,fruity,N/A
JC Cellars St. Peter's Church Zinfandel 2013,81.85,full body,N/A,berry,N/A
San Fabiano Calcinaia Cellole Gran Selezione Chianti Classico 2013,42.95,N/A,low tannins,fruity,low acidity
Girls' Night Out Peach Raspberry Rumba,13.95,N/A,N/A,stone fruit,N/A
Peller Estates Family Series Chardonnay VQA,17.95,N/A,N/A,citrus,high acidity
NV-Bonnet Huteau Nuit Boreale Method Traditionale,27.6,N/A,N/A,N/A,N/A
Patrimonio Cantina Di Torra Blanc Vermentinu 2016,32.15,N/A,N/A,citrus,high acidity
Kilikanoon Killerman's Run Grenache/Shiraz/Mataro 2016,19.95,N/A,N/A,berry,N/A
Pouca Roupa White 2016,17.0,N/A,N/A,tropical fruit,N/A
Two Oceans Cabernet Sauvignon Merlot,18.95,N/A,low tannins,berry,low acidity
Two Oceans Sauvignon Blanc,16.95,N/A,N/A,citrus,low acidity
Marques De Almeida White 2016,12.6,N/A,N/A,citrus,N/A
Zenato Amarone della Valpolicella Classico,51.95,N/A,medium tannins,berry,N/A
Vinha Do Bispado White 2016,14.6,N/A,N/A,citrus,high acidity
Vinha Da Urze Red 2014,14.3,N/A,N/A,berry,N/A
Vinha Do Bispado Red 2014,14.6,N/A,medium tannins,fruity,N/A
Montirius Terre Des Aines 2014,26.15,N/A,N/A,N/A,N/A
Nero Di Troia IGP 2015,17.35,N/A,N/A,N/A,N/A
Augustale Castel Del Monte Riserva DOCG 2012,26.4,N/A,N/A,N/A,N/A
Castel Del Monte Rosso DOP 2015,17.35,N/A,N/A,N/A,N/A
Alento White 2016,15.45,N/A,N/A,N/A,N/A
Prunier Cote De Beaune-Villages 2015,43.35,full body,N/A,fruity,N/A
Prunier Bourgogne Chardonnay 2015,35.95,full body,N/A,fruity,N/A
Pelee Island Baco Noir Reserve VQA,14.95,N/A,N/A,berry,low acidity
Sandbanks Summer White VQA,14.95,full body,N/A,stone fruit,N/A
Lionello Stock Vermouth Extra Dry,12.85,N/A,N/A,citrus,N/A
Lionello Stock Vermouth Red,12.85,N/A,N/A,citrus,N/A
Euphoria White 2016,21.6,N/A,N/A,citrus,N/A
Saint Clair Wairau Reserve Sauvignon Blanc 2017,32.95,N/A,low tannins,fruity,N/A
Cave Spring Indian Summer Riesling 2016,24.95,N/A,N/A,fruity,N/A
Le Chant Du Merle Merlot 2016,14.6,N/A,N/A,N/A,N/A
Alta Alella Mirgin Laieta Rose 2013,40.3,N/A,N/A,N/A,N/A
Domaine Laroche Les Vaudevey Chablis 1er Cru 2017,38.95,medium body,N/A,citrus,N/A
The Wanted Zin Old Vines Zinfandel IGT,14.95,N/A,N/A,berry,N/A
Passadouro White 2016,24.7,N/A,N/A,citrus,high acidity
Passadouro Red 2014,31.25,N/A,N/A,N/A,N/A
Passadouro Porto Ruby Reserva,27.85,N/A,N/A,N/A,high acidity
Barmes Riesling Leimental 2014,44.75,N/A,N/A,stone fruit,N/A
Barmes Gewurztraminer Grand Cru Hengst 2014,71.1,full body,N/A,fruity,low acidity
Riverlore Sauvignon Blanc Marlborough,16.45,N/A,N/A,citrus,high acidity
Cave Spring Pinot Noir VQA,19.95,N/A,N/A,berry,high acidity
Alento Red 2016,15.45,N/A,N/A,fruity,high acidity
Bill Knuttel Zinfinity Sonoma County Zinfandel 2014,40.2,N/A,N/A,berry,N/A
Bill Knuttel Ottimino Biglieri Dry Creek OV Zinfandel 2013,52.9,N/A,N/A,N/A,N/A
Lily Sparkling Wine VQA,17.95,N/A,N/A,citrus,high acidity
Asproudi 2016,16.05,N/A,N/A,stone fruit,high acidity
Boone's Sangria,7.95,N/A,low tannins,citrus,N/A
Vieni Briganti Reserve 2014,18.95,N/A,N/A,N/A,N/A
Rosato Bambino,15.95,N/A,N/A,berry,N/A
Tenute Sella Piandoro Piemonte Bianco 2016,21.85,N/A,N/A,N/A,high acidity
Tenute Sella Majoli Coste Della Sesia Rosato 2016,21.85,N/A,N/A,N/A,N/A
Tenute Sella Doranda Piemonte Bianco 2016,21.85,N/A,N/A,fruity,high acidity
13th Street Burger Blend Gamay Pinot Noir VQA,14.95,N/A,N/A,fruity,low acidity
Apothic White,16.95,N/A,N/A,tropical fruit,high acidity
Jacob's Creek Double Barrel Shiraz,19.95,N/A,N/A,berry,N/A
Chateau Canteloup Medoc AOC,20.05,N/A,N/A,berry,high acidity
Two Oceans Moscato,10.95,N/A,N/A,stone fruit,high acidity
Dutton Estate Kyndall's Reserve Chardonnay 2014,34.25,full body,N/A,fruity,N/A
Chateau Graves De Rabion Saint Emilion AOC,21.15,N/A,N/A,berry,N/A
Thornbury Merlot 2016,19.1,light body,N/A,fruity,N/A
Cowhorn Grenache 8 2014,67.0,N/A,N/A,N/A,low acidity
Cowhorn Viognier 2015,52.3,full body,N/A,citrus,high acidity
Cowhorn Marsanne Roussanne 2015,52.3,full body,N/A,tropical fruit,high acidity
Cowhorn Syrah 21 2013,67.0,N/A,high tannins,fruity,N/A
Figuiere Francois Red 2015,24.1,N/A,N/A,N/A,N/A
Figuiere Valerie White 2016,24.45,N/A,N/A,N/A,N/A
Figuiere Var Le St Andre IGP Red 2016,17.4,N/A,N/A,N/A,N/A
Les 7 Pierres Cotes du Rhone AOP 2015,29.5,N/A,N/A,fruity,high acidity
Castel Del Monte Rosato DOP 2016,17.35,N/A,N/A,N/A,N/A
Bombino Bianco IGP 2016,17.35,N/A,N/A,N/A,N/A
Malamatina Retsina,6.2,N/A,N/A,citrus,high acidity
Kochan & Platz Riesling Classic 2016,18.9,N/A,N/A,N/A,N/A
Pères De L'Eglise Châteauneuf Du Pape Cuvée Héritage 2015,86.85,full body,medium tannins,fruity,N/A
Charles Tort Old Vines CdRhone AOC,14.05,N/A,N/A,berry,N/A
Tenuta Montelio Solarolo Riserva DOC 2011,40.45,N/A,N/A,citrus,N/A
Pynos Pinot Nero Oltrepo Pavese DOC 2006,29.3,N/A,N/A,berry,high acidity
Veuve Clicquot Rich Champagne,87.5,N/A,N/A,citrus,low acidity
SanMichele Ai Pianoni Riesling Oltrepò Pavese DOC 2015,20.45,N/A,N/A,citrus,high acidity
Villa Maria Private Bin Sauvignon Blanc,9.5,N/A,N/A,citrus,high acidity
Küehling-Gillot Riesling Kabinett 2015,30.9,N/A,N/A,N/A,N/A
Küehling-Gillot Spätburgunder Pinot 2014,32.0,N/A,low tannins,fruity,N/A
Küehling-Gillot Giro Rosé 2016,21.0,N/A,N/A,fruity,high acidity
Küehling-Gillot Qvinterra Grauer Burgundy 2016,24.2,N/A,low tannins,fruity,high acidity
Magalhaes Vintage Port 2004,52.2,full body,N/A,N/A,N/A
Sella & Mosca Cannonau di Sardegna Riserva,15.95,N/A,N/A,N/A,N/A
Cloudy Bay Te Koko Sauvignon Blanc 2011,59.2,N/A,N/A,citrus,N/A
Album 2014,13.95,N/A,N/A,N/A,low acidity
Hinterland Ancestral Sparkling VQA,25.3,N/A,N/A,berry,high acidity
Wayne Gretzky Baco Noir VQA,15.95,medium body,N/A,berry,high acidity
Villa Maria Private Bin Sauvignon Blanc Marlborough,17.95,N/A,N/A,citrus,high acidity
Greystone Sand Dollar Pinot Gris 2016,27.95,full body,N/A,citrus,high acidity
Cesari Amarone Della Valpolicella Classico DOC,39.95,full body,N/A,N/A,N/A
Contucci Ponno Riserva 2011,40.1,N/A,N/A,fruity,N/A
Contucci Ponno Colle Della Corte 2016,23.3,N/A,N/A,fruity,N/A
Contucci Ponno Vermiglio 2016,22.6,N/A,N/A,berry,N/A
Contucci Ponno La Regia Specula 2013,27.05,N/A,N/A,fruity,N/A
Peller Family Vineyards Cabernet Sauvignon,15.95,N/A,low tannins,berry,N/A
Beronia Tempranillo Rioja DOCa Elaboracion Especial,16.95,N/A,N/A,berry,low acidity
Casillero del Diablo Reserva Merlot,13.95,medium body,low tannins,N/A,low acidity
Paneretta Terrine 2009,42.55,N/A,N/A,berry,N/A
Paneretta Torre E Destra 2010,46.95,N/A,N/A,berry,N/A
Valle Dell'Acate Il Moro 2015,38.45,N/A,N/A,berry,N/A
Long Weekend Wine Co.Chardonnay Pinot Grigio VQA,14.95,N/A,N/A,stone fruit,high acidity
Long Weekend Wine Co. Cabernet VQA,14.95,N/A,N/A,berry,low acidity
Forward Pinot Grigio Riesling,10.95,light body,N/A,citrus,high acidity
Porta 6 Lisboa VR,13.95,N/A,high tannins,berry,N/A
Jermann Capo Martino 2014,95.25,light body,medium tannins,tropical fruit,low acidity
Rioja Bordon Gran Reserva Rioja DOCa,19.7,N/A,N/A,N/A,N/A
Grande Cuvee 1531 De Aimery Cremant De Limoux,18.95,N/A,N/A,citrus,high acidity
Apothic Crush Red Blend,16.95,N/A,low tannins,fruity,N/A
Champagne Fleury Rose De Saignee,50.1,light body,low tannins,fruity,high acidity
Clos Chantel l'Alouette 2015,40.05,N/A,N/A,berry,high acidity
Veuve Ambal Cremant De Bourgogne Grande Cuvee Brut,19.5,N/A,N/A,citrus,high acidity
